Date,Close
2014-06-30,22.11
2014-07-01,22.67
2014-07-02,22.59
2014-07-03,23.13
2014-07-07,22.66
2014-07-08,22.21
2014-07-09,22.17
2014-07-10,21.74
2014-07-11,21.73
2014-07-14,21.73
2014-07-15,21.37
2014-07-16,21.49
2014-07-17,21.19
2014-07-18,21.73
2014-07-21,21.51
2014-07-22,21.76
2014-07-23,21.69
2014-07-24,21.87
2014-07-25,21.73
2014-07-28,21.84
2014-07-29,22.02
2014-07-30,22.14
2014-07-31,21.66
2014-08-01,21.47
2014-08-04,20.99
2014-08-05,21.11
2014-08-06,21.42
2014-08-07,21.42
2014-08-08,21.82
2014-08-11,21.96
2014-08-12,21.78
2014-08-13,22.19
2014-08-14,22.21
2014-08-15,22.15
2014-08-18,22.61
2014-08-19,22.76
2014-08-20,22.6
2014-08-21,22.94
2014-08-22,22.71
2014-08-25,22.59
2014-08-26,22.71
2014-08-27,22.84
2014-08-28,22.56
2014-08-29,22.63
2014-09-02,23.21
2014-09-03,22.76
2014-09-04,22.38
2014-09-05,22.73
2014-09-08,22.83
2014-09-09,22.72
2014-09-10,22.76
2014-09-11,22.6
2014-09-12,22.01
2014-09-15,21.61
2014-09-16,21.58
2014-09-17,21.78
2014-09-18,22.55
2014-09-19,22.35
2014-09-22,22.28
2014-09-23,22.14
2014-09-24,22.18
2014-09-25,21.91
2014-09-26,21.88
2014-09-29,22.31
2014-09-30,21.95
2014-10-01,21.5
2014-10-02,21.64
2014-10-03,21.72
2014-10-06,21.97
2014-10-07,21.73
2014-10-08,22.62
2014-10-09,21.83
2014-10-10,21.36
2014-10-13,21.76
2014-10-14,21.78
2014-10-15,21.4
2014-10-16,20.96
2014-10-17,21.2
2014-10-20,21.17
2014-10-21,22.36
2014-10-22,21.88
2014-10-23,22.3
2014-10-24,22.7
2014-10-27,22.75
2014-10-28,23.45
2014-10-29,23.34
2014-10-30,23.3
2014-10-31,24.16
2014-11-03,24.32
2014-11-04,24.75
2014-11-05,24.71
2014-11-06,24.97
2014-11-07,25
2014-11-10,25
2014-11-11,24.98
2014-11-12,25.02
2014-11-13,24.89
2014-11-14,25.09
2014-11-17,24.87
2014-11-18,24.74
2014-11-19,24.81
2014-11-20,24.99
2014-11-21,25.34
2014-11-24,25.45
2014-11-25,25.3
2014-11-26,25.46
2014-11-28,25.28
2014-12-01,25.39
2014-12-02,25.49
2014-12-03,25.54
2014-12-04,25.64
2014-12-05,26.16
2014-12-08,25.98
2014-12-09,26.86
2014-12-10,26.9
2014-12-11,27.11
2014-12-12,26.86
2014-12-15,26.7
2014-12-16,26.93
2014-12-17,27.33
2014-12-18,28.28
2014-12-19,28.27
2014-12-22,28.24
2014-12-23,28.24
2014-12-24,28.58
2014-12-26,28.85
2014-12-29,29.69
2014-12-30,29.43
2014-12-31,29.25
2015-01-02,27.64
2015-01-05,26.74
2015-01-06,26.27
2015-01-07,26.81
2015-01-08,27.49
2015-01-09,27.14
2015-01-12,27.62
2015-01-13,28.1
2015-01-14,28.13
2015-01-15,27.17
2015-01-16,27.75
2015-01-20,27.26
2015-01-21,26.49
2015-01-22,27.11
2015-01-23,27.27
2015-01-26,27.36
2015-01-27,26.72
2015-01-28,27.27
2015-01-29,27.84
2015-01-30,27.67
2015-02-02,27.28
2015-02-03,29.82
2015-02-04,30.41
2015-02-05,30.7
2015-02-06,30.5
2015-02-09,30.44
2015-02-10,30.77
2015-02-11,30.64
2015-02-12,30.99
2015-02-13,31.69
2015-02-17,31.57
2015-02-18,31.52
2015-02-19,31.39
2015-02-20,31.3
2015-02-23,31
2015-02-24,30.95
2015-02-25,30.77
2015-02-26,30.82
2015-02-27,30.34
2015-03-02,30.73
2015-03-03,30.9
2015-03-04,31.36
2015-03-05,31.52
2015-03-06,31.36
2015-03-09,31.55
2015-03-10,30.73
2015-03-11,30.84
2015-03-12,31.55
2015-03-13,31
2015-03-16,30.55
2015-03-17,30.36
2015-03-18,31.32
2015-03-19,31.39
2015-03-20,31.38
2015-03-23,31.11
2015-03-24,31.17
2015-03-25,30.19
2015-03-26,30.75
2015-03-27,30.75
2015-03-30,31.3
2015-03-31,31.15
2015-04-01,31.02
2015-04-02,31.22
2015-04-06,31.25
2015-04-07,31.62
2015-04-08,31.77
2015-04-09,31.02
2015-04-10,31.47
2015-04-13,31.43
2015-04-14,31.27
2015-04-15,31.63
2015-04-16,31.83
2015-04-17,31.1
2015-04-20,31.47
2015-04-21,31.36
2015-04-22,31.74
2015-04-23,32.35
2015-04-24,31.81
2015-04-27,31.18
2015-04-28,30.01
2015-04-29,30.17
2015-04-30,30.09
2015-05-01,30.1
2015-05-04,29.77
2015-05-05,29.27
2015-05-06,29.21
2015-05-07,29.24
2015-05-08,29.69
2015-05-11,29.87
2015-05-12,29.91
2015-05-13,29.72
2015-05-14,30.07
2015-05-15,29.82
2015-05-18,30.66
2015-05-19,30.56
2015-05-20,30.51
2015-05-21,30.36
2015-05-22,30.04
2015-05-26,29.65
2015-05-27,30.08
2015-05-28,30.19
2015-05-29,29.47
2015-06-01,30.03
2015-06-02,29.9
2015-06-03,30.21
2015-06-04,30.06
2015-06-05,30.27
2015-06-08,29.56
2015-06-09,28.99
2015-06-10,30.03
2015-06-11,30.57
2015-06-12,30.58
2015-06-15,30.23
2015-06-16,30.45
2015-06-17,30.28
2015-06-18,31.65
2015-06-19,32.4
2015-06-22,32.05
2015-06-23,32.18
2015-06-24,32.13
2015-06-25,32.01
2015-06-26,31.76
2015-06-29,30.62
2015-06-30,31.25
2015-07-01,31.19
2015-07-02,31.43
2015-07-06,31.61
2015-07-07,31.4
2015-07-08,30.89
2015-07-09,31.73
2015-07-10,32.18
2015-07-13,32.61
2015-07-14,32.57
2015-07-15,32.32
2015-07-16,32.6
2015-07-17,32.57
2015-07-20,32.53
2015-07-21,32.5
2015-07-22,32.6
2015-07-23,32.31
2015-07-24,31.97
2015-07-27,31.93
2015-07-28,32.32
